MeshName,NumVertices,SMAPE_VTP,SMAPE_Trettner,SMAPE_FastMarching,SMAPE_Heat,SMAPE_Geotangle,SMAPE_Edge,SMAPE_Lanthier
bob_tri_subdiv_4_final.obj,1368064,0.000908546,67.4904,67.4832,53.1513,22.48,22.7944,7.32667
blub_tri_subdiv_3_final.obj,454658,0.00542282,85.2859,85.2769,10.5858,13.1363,13.7866,4.31953
blub_tri_subdiv_0.obj,7106,0.200606,85.2973,85.2487,4.93914,12.3319,13.7301,4.31089
bob_tri_subdiv_2_final.obj,85504,0.0160087,67.4779,67.4815,4.32793,22.0952,22.7801,7.36055
spot_tri_subdiv_1_final.obj,11714,0.23786,67.815,67.812,6.78246,25.5501,27.6642,8.64446
blub_tri_subdiv_2_final.obj,113666,0.0193227,85.2859,85.269,5.8803,12.9394,13.7918,4.32201
bob_tri_subdiv_3_final.obj,342016,0.00420633,67.4878,67.4821,5.52353,22.3342,22.7897,7.34624
blub_tri_subdiv_4_final.obj,1818626,0.00135194,85.2875,85.282,75.4675,13.2586,13.7843,4.32123
blub_tri_subdiv_1_final.obj,28418,0.0624954,85.2911,85.2584,4.8642,12.3421,13.8064,4.27019
spot_tri_subdiv_3_final.obj,187394,0.0187697,67.8972,67.8675,6.53432,26.9232,27.6995,8.65374
bob_tri_subdiv_0.obj,5344,0.223207,67.4943,67.4639,9.66497,21.9173,22.5254,7.4023
spot_tri_subdiv_4_final.obj,749570,0.00508143,67.9022,67.8812,22.6173,27.1726,27.6975,8.69947
bob_tri_subdiv_1_final.obj,21376,0.052289,67.4717,67.4628,6.5305,21.6566,22.7131,7.3856
spot_tri_subdiv_2_final.obj,46850,0.0683726,67.9079,67.8457,5.52411,26.4549,27.6934,8.6093
spot_tri_subdiv_0.obj,2930,0.789286,67.9207,67.8162,9.2212,25.3423,27.5499,8.7397
