MeshName,NumVertices,SMAPE_VTP,SMAPE_Trettner,SMAPE_FastMarching,SMAPE_Heat,SMAPE_Geotangle,SMAPE_Edge,SMAPE_Lanthier
bob_tri_subdiv_4_final.obj,1368064,0.00123819,42.9367,42.9025,28.5099,24.2645,24.8138,10.4093
blub_tri_subdiv_3_final.obj,454658,0.00341544,83.4325,83.4152,11.7776,15.5073,16.0032,5.40804
blub_tri_subdiv_0.obj,7106,0.163238,83.4297,83.3685,6.7818,14.7633,15.9777,5.42863
bob_tri_subdiv_2_final.obj,85504,0.026946,42.7469,42.8533,3.00162,23.6131,24.8098,10.4066
spot_tri_subdiv_1_final.obj,11714,0.119356,70.252,70.2166,3.75069,12.3245,13.132,5.37769
blub_tri_subdiv_2_final.obj,113666,0.0122129,83.4331,83.4052,7.67852,15.3176,16.0025,5.40046
bob_tri_subdiv_3_final.obj,342016,0.0059787,42.7426,42.8848,4.61203,24.0125,24.8143,10.4131
blub_tri_subdiv_4_final.obj,1818626,0.00075796,83.434,83.4211,73.4179,15.6295,16.0027,5.4148
blub_tri_subdiv_1_final.obj,28418,0.0422807,83.4352,83.3889,6.54153,14.7368,15.9935,5.42202
spot_tri_subdiv_3_final.obj,187394,0.00940929,70.2499,70.2444,6.36629,12.5825,12.991,5.38158
bob_tri_subdiv_0.obj,5344,0.295875,42.572,42.5961,7.33568,23.4779,24.7312,10.2429
spot_tri_subdiv_4_final.obj,749570,0.00230594,70.2563,70.2503,52.5609,12.6575,12.9875,5.41144
bob_tri_subdiv_1_final.obj,21376,0.085865,42.6784,42.8024,4.44574,22.9386,24.7783,10.3277
spot_tri_subdiv_2_final.obj,46850,0.0308377,70.2491,70.2354,1.92079,12.59,13.0451,5.35152
spot_tri_subdiv_0.obj,2930,0.468147,70.2298,70.1831,6.78429,11.8857,13.0814,5.46121
blub_tri_subdiv_5_final.obj,7274498,,61.5746,61.562,,,,
bob_tri_subdiv_5_final.obj,5472256,,55.1817,55.1943,,,,
spot_tri_subdiv_6_final.obj,11993090,,70.3928,70.3919,,,,
spot_tri_subdiv_5_final.obj,2998274,,70.391,70.3902,,,,
