MeshName,NumVertices,SMAPE_VTP,SMAPE_Trettner,SMAPE_FastMarching,SMAPE_Heat,SMAPE_Geotangle,SMAPE_Edge,SMAPE_Lanthier
bob_tri_subdiv_4_final.obj,1368064,0.00129656,56.2769,56.2434,36.4397,25.7305,26.1074,9.78475
blub_tri_subdiv_3_final.obj,454658,0.0097725,65.0798,65.0729,9.59576,18.1417,18.8984,7.72359
blub_tri_subdiv_0.obj,7106,0.325524,65.0587,64.977,6.00682,17.427,18.8803,7.96323
bob_tri_subdiv_2_final.obj,85504,0.0221606,56.2602,56.233,3.43605,25.3274,26.0906,9.80182
spot_tri_subdiv_1_final.obj,11714,0.0625081,70.1931,70.1454,2.66521,13.4539,14.2249,4.19321
blub_tri_subdiv_2_final.obj,113666,0.0318145,65.0725,65.0585,6.73665,17.8866,18.8944,7.74885
bob_tri_subdiv_3_final.obj,342016,0.00589951,56.2663,56.2363,4.54162,25.5751,26.1076,9.78986
blub_tri_subdiv_4_final.obj,1818626,0.00226229,65.0838,65.0787,50.1151,18.2578,18.8956,7.73694
blub_tri_subdiv_1_final.obj,28418,0.105161,65.0745,65.0474,6.03347,17.2334,18.859,7.76727
spot_tri_subdiv_3_final.obj,187394,0.00426401,70.2002,70.1836,6.34364,13.9365,14.2129,4.23328
bob_tri_subdiv_0.obj,5344,0.263708,56.2001,56.1621,9.92747,25.004,25.7637,9.50287
spot_tri_subdiv_4_final.obj,749570,0.00113157,70.2019,70.1918,48.8931,14.0316,14.2129,4.23952
bob_tri_subdiv_1_final.obj,21376,0.078483,56.2452,56.2024,6.13101,24.7794,26.0128,9.68766
spot_tri_subdiv_2_final.obj,46850,0.0186186,70.195,70.1686,2.69591,13.7809,14.2147,4.1675
spot_tri_subdiv_0.obj,2930,0.243828,70.1714,70.1173,5.82622,13.1893,14.0507,4.1229
