MeshName,NumVertices,SMAPE_Lanthier
blub_tri_subdiv_3_final.obj,454658,4.86321
blub_tri_subdiv_0.obj,7106,4.82842
bob_tri_subdiv_2_final.obj,85504,10.609
spot_tri_subdiv_1_final.obj,11714,3.69281
blub_tri_subdiv_2_final.obj,113666,4.87153
bob_tri_subdiv_3_final.obj,342016,10.6139
blub_tri_subdiv_1_final.obj,28418,4.87376
spot_tri_subdiv_3_final.obj,187394,3.64777
bob_tri_subdiv_0.obj,5344,10.2294
bob_tri_subdiv_1_final.obj,21376,10.4578
spot_tri_subdiv_2_final.obj,46850,3.67074
spot_tri_subdiv_0.obj,2930,3.70581
